Element, Sub-element
Research questions, Feasible
Research questions, Interesting
Research questions, Novel
Research questions, Ethical
Research questions, Relevant
Significance (Background), Rationale
Design, Time frame
Design, Epidemiologic approach
Subjects, Selection criteria
Subjects, Sampling design
Variables, Predictor variables
Variables, Confounding variables
Variables, Outcome variables
Statistical issues, Hypotheses
Statistical issues, Sample size
Statistical issues, Analytic approach